2/21/2016;Donald Cerrone;Alex Oliveira;win;loss;Submission;Mario Yamasaki;1;2:33
2/21/2016;Derek Brunson;Roan Carneiro;win;loss;KO;Keith Peterson;1;2:38
1/3/2015;Jon Jones;Daniel Cormier;win;loss;Decision;Herb Dean;5;5:00
4/26/2014;Jon Jones;Glover Teixeira;win;loss;Decision;Dan Miragliotta;5;5:00
9/21/2013;Jon Jones;Alexander Gustafsson;win;loss;Decision;John McCarthy;5;5:00
4/21/2012;Jon Jones;Rashad Evans;win;loss;Decision;Herb Dean;5;5:00
11/19/2011;Wanderlei Silva;Cung Le;win;loss;KO;Dan Stell;2;4:49
2/20/2010;Mirko Filipovic;Anthony Perosh;win;loss;KO;Herb Dean;2;5:00
9/19/2009;Junior Santos;Mirko Filipovic;win;loss;Submission;Dan Miragliotta;3;2:00
